,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.0,BALTIC WHISPER (B216),0.1,0.15,0.08,0.0,0.08,0.32,0.10296191819464033,0,1,0,10
1,0.0,FORZA ANGEL (B333),0.1,0.0,0.08,0.08,0.0,0.32,0.08180535966149508,0,0,0,0
2,0.19,KING'S EMINENCE (C508),0.1,0.15,0.08,0.08,0.08,0.0,0.09590973201692524,0,1,0,10
3,0.0,MEGA HEART (A148),0.1,0.0,0.08,0.08,0.0,0.32,0.08180535966149508,0,0,0,0
4,0.19,THE RUNNER (D042),0.0,0.15,0.08,0.08,0.08,0.0,0.08180535966149506,0,0,0,0
5,0.19,BEAUTY CHARISMA (C274),0.1,0.0,0.08,0.0,0.08,0.0,0.06346967559943584,0,0,0,0
6,0.19,SPECIAL STARS (C010),0.1,0.15,0.08,0.08,0.08,0.32,0.14104372355430184,1,1,10,10
7,0.0,HAPPY LIFELINE (C447),0.1,0.15,0.0,0.0,0.08,0.0,0.04654442877291961,0,0,0,0
8,0.19,SNAP FIT (B402),0.1,0.15,0.0,0.08,0.08,0.0,0.0846262341325811,0,0,0,0
9,0.19,STAR OF THEHARBOUR (C078),0.1,0.15,0.0,0.0,0.08,0.0,0.07334273624823696,0,0,0,0
10,0.19,AMAZING LUCK (B401),0.1,0.15,0.0,0.0,0.08,0.0,0.07334273624823696,0,0,0,0
11,0.19,JOLLY CONVERGENCE (V293),0.1,0.15,0.0,0.0,0.08,0.0,0.07334273624823696,0,0,0,0
