hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win,winstake,plastake
9,7,1209,133,-12,110.48,1800,0.232934553,0.352941176,37,0,0,0,0,0
2,4,1171,133,-25,0.0,1800,0.5064292779999999,0.24124513600000005,37,0,1,1,0,0
4,7,1063,131,-8,110.24,1800,0.14932126699999998,0.259615385,35,0,0,0,0,0
10,7,1118,131,-20,109.75,1800,0.211772681,0.261402314,35,5,1,0,0,0
5,7,1165,129,5,110.73,1800,0.197815534,0.213967311,33,-2,0,0,0,0
8,4,1208,127,29,0.0,1800,0.231171162,0.213391399,31,-10,0,0,0,0
7,5,1039,126,13,110.2,1800,0.173726212,0.19189907,30,0,0,0,0,0
3,5,1121,119,-5,0.0,1800,0.206682443,0.276306371,23,2,1,0,0,0
6,5,1024,117,-32,0.0,1800,0.116847826,0.234627832,21,-2,0,0,0,0
1,5,1229,116,6,110.9,1800,0.163237897,0.223614776,20,-1,0,0,0,0
11,6,1093,113,-4,110.37,1800,0.156862745,0.185154295,17,-2,0,0,0,0
